OBJECT_ID,URL,RETURN_TYPE,TAX_YEAR,ORG_NAME,ORG_ADDR_STATE,ORG_EIN,GRO_RCPT,YEAR_FORMATION,ACT_GVRN_EMPL_TOT,ACT_GVRN_VOL_TOT,REV_CONTR_TOTL_CY,REV_PROG_TOT_CY,REV_INVEST_TOT_CY,REV_OTH_CY,REV_TOT_CY,EXP_GRANT_SIMILAR_CY,EXP_BEN_PAID_MEMB_CY,EXP_SAL_ETC_CY,EXP_PROF_FUNDR_TOT_CY,EXP_OTH_CY,EXP_TOT_CY,EXP_REV_LESS_EXP_CY,NAFB_LIAB_TOT_BOY,NAFB_LIAB_TOT_EOY,NAFB_TOT_BOY,NAFB_TOT_EOY,COMP_DTK_NUM_GT_100K_HCE,COMP_DTK_NUM_GT_100K,EXEC_NAME,EXEC_TITLE,EXEC_SALARY,EXEC_HCE_FLAG
2.01801E+17,https://s3.amazonaws.com/irs-form-990/201801349349302190_public.xml,990,2016,Vanderbilt University,TN,620476822,9675774941,1941,14117,16000,306804251,1019724693,275252963,19894016,1621675923,354596697,0,641942595,608504,495227965,1492375761,129300162,945758654,1051263348,5396870753,5767167206,0,1181,GUESSING: Nicholas S Zeppos,See Schedule O,4322392,0
2.01801E+17,https://s3.amazonaws.com/irs-form-990/201801349349301475_public.xml,990,2016,OhioHealth Corporation,OH,314394942,7969392128,1891,18991,1572,979234,2516051121,161680671,193042396,2871753422,766373,0,1266133863,0,1125439120,2392339356,479414066,1884566934,1708408061,3132697845,3682776921,0,1108,Blom David P,President/CEO/Board - OhioHealth,4442076,0
2.01801E+17,https://s3.amazonaws.com/irs-form-990/201801349349301675_public.xml,990,2016,UNIVERSITY OF ROCHESTER,NY,160743209,5352485945,1850,31266,6450,379449692,2959191187,195384221,5317567,3539342667,212589141,0,2004185105,341248,1218555101,3435670595,103672072,2074206659,2185142393,2895188686,3114948888,0,2729,JOEL S SELIGMAN,"TRUSTEE, PRESIDENT & CEO",2015749,0
2.01801E+17,https://s3.amazonaws.com/irs-form-990/201801349349307880_public.xml,990,2016,Memorial Hermann Health System,TX,741152597,4604577892,1910,28378,3068,28312345,4317344583,32501944,157271049,4535429921,1382601,0,2065913657,0,2275265846,4342562104,192867817,3404969765,3333684011,3182175374,3557194230,0,3193,CHUBENJAMIN K MD,President & CEO,1283167,0
2.01821E+17,https://s3.amazonaws.com/irs-form-990/201821349349308047_public.xml,990,2016,THE COMMON FUND FOR NONPROFIT ORGANIZATIONS,CT,237037968,4475850007,1955,72,0,0,10301669,405125249,20848756,436275674,0,0,18926151,0,19093591,38019742,398255932,101024413,323068479,4192940733,4219874987,0,38,CATHERINE KEATING,PRESIDENT & CHIEF EXECUTIVE,3097575,0
2.01821E+17,https://s3.amazonaws.com/irs-form-990/201821349349303832_public.xml,990,2016,Sanford Group Return,SD,453791176,3747183171,0,31766,3000,70015308,3669768613,-1365155,3059111,3741477877,22990888,0,2181401280,0,1398380656,3602772824,138705053,1574793011,1598658494,1091717301,1161927482,0,2619,Kelby K Krabbenhoft,Sanford President & CEO,2206974,0
2.01821E+17,https://s3.amazonaws.com/irs-form-990/201821349349303772_public.xml,990,2016,University of Delaware,DE,516000297,2543410927,1833,14001,31,164318423,925270976,81852200,62521302,1233962901,156870267,0,619333037,0,401733356,1177936660,56026241,1266297407,1266849667,2212126106,2372049830,0,1026,Dionissios Assanis,President,486691,0
2.01821E+17,https://s3.amazonaws.com/irs-form-990/201821349349306797_public.xml,990,2016,THE JOHNS HOPKINS HOSPITAL,MD,520591656,2463633493,1867,12569,1092,39612663,2238035948,23272859,70780069,2371701539,2868762,0,829059980,0,1473956570,2305885312,65816227,1977421632,1823144627,1097100091,1303772428,0,1046,REDONDA G MILLER MD,PRESIDENT,0,0
2.01713E+17,https://s3.amazonaws.com/irs-form-990/201713119349300401_public.xml,990,2016,Prairie Meadows Race Track and Casino Inc,IA,421244913,2198416668,1984,1791,0,0,2198269797,86525,0,2198356322,19987621,0,60321005,0,2123010351,2203318977,-4962655,29799058,29703996,82361699,77375004,0,25,Gary Palmer,President/CEO,730774,0
2.01733E+17,https://s3.amazonaws.com/irs-form-990/201733189349301763_public.xml,990,2016,INDEPENDENT HEALTH ASSOCIATION INC,NY,161080163,1781337070,1980,1356,257,0,1516332353,11030461,20027,1527382841,2002372,1340584630,75119652,0,82620917,1500327571,27055270,390641859,290965228,414802101,442294575,0,200,MICHAEL W CROPP MD,PRESIDENT & CEO,1962939,0
