"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_01_BOND_ISSUER_EIN","SK_01_BOND_ISSUE_DATE","SK_01_BOND_ISSUE_PRICE","SK_01_BOND_ISSUE_PURPOSE_DESC","SK_01_BOND_ISSUE_DEFEASED_X","SK_01_BOND_ISSUER_ON_BEHALF_OF_X","SK_01_BOND_ISSUE_POOL_FIN_X","SK_01_BOND_ISSUE_REFERENCE_NUM","SK_01_BOND_ISSUE_CUSIP_NUM"
"201132039349300303","540541801","THE MARINERS' MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201132039349300303_public.xml","546001417","2005-12-02","10000000","FINANCE ACQUISITION AND CONSTRUCTION OF EXHIBITS AND USS MONITOR CENTER","0","0","0",NA,NA
"202101139349300315","952210527","CALIFORNIA SCIENCE CENTER FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202101139349300315_public.xml","630304653","2016-10-27","60440728","REFUNDING OF PRIOR ISSUE","0","0","0","A","13034ARM4"
"201823169349302777","520668166","MARYLAND ACADEMY OF SCIENCES","2017","990","https://s3.amazonaws.com/irs-form-990/201823169349302777_public.xml","521376562","2003-04-01","14000000","TO FINANCE AND REFINANCE COSTS","0","0","0","A","57420NAN1"
"201531189349301208","841366092","MUSEUM OF CONTEMPORARY ART DENVER","2013","990","https://s3.amazonaws.com/irs-form-990/201531189349301208_public.xml","840896727","2007-04-13","10765000","BUILDING CONSTRUCTION","false","false","false","A","1964585T6"
"201623209349308232","043157815","PEABODY ESSEX MUSEUM INC","2015","990","https://s3.amazonaws.com/irs-form-990/201623209349308232_public.xml","043431814","2012-11-08","29160000","REFUND 2002 ISSUE","0","0","0","A",NA
"201232239349301298","362167797","Museum of Science and Industry","2011","990","https://s3.amazonaws.com/irs-form-990/201232239349301298_public.xml","861091967","2009-12-17","64000000","Construction, Exhibits","false","false","false",NA,"45200FJ91"
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","760337885","2017-12-28","10725000","REFUNDING","0","0","0","A",NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","760337885","2016-11-08","14765000","REFUNDING","0","0","0","B",NA
"202023189349311082","464118590","THE WALT DISNEY FAMILY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349311082_public.xml","680304653","2016-05-25","47455000","TO DEFEASE AND REDEEM PORTION OF OUTSTANDING 2008 REVENUE BONDS","0","0","0","A","13034ALC2"
"201311219349300411","311620682","MONTPELIER FOUNDATION INC","2012","990","https://s3.amazonaws.com/irs-form-990/201311219349300411_public.xml","521304024","2004-12-15","9100000","VISITOR CENTER CONSTRUCTION","0","0","0","A","684793AB8"
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","540787833","2003-12-03","77545000","To construct a museum","0","1","0","A","30382EC75"
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","521834528","2010-04-26","30500000","Refunding of 1997 Bonds","0","1","0","B","254839756"
"202023189349305547","461479450","INTERNATIONAL SPY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349305547_public.xml","536001131","2016-06-15","49925000","TO FUND CONSTRUCTION OF L'ENFANT PLAZA BUILDING","0","0","0","A","NONEAVAIL"
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","341029691","2005-10-20","90000000","SEE PART VI","false","false","false","A","18610PAE8"
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","341029691","2010-07-01","75917326","SEE PART VI","false","false","false","B","18610PAR9"
"202002309349303615","954739699","PETERSEN AUTOMOTIVE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202002309349303615_public.xml","630304653","2014-12-04","39600000","RENOVATION OF A BUILDING","0","0","0","A","000000000"
"202040629349300329","510205333","VIRGINIA MUSEUM OF FINE ARTS FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202040629349300329_public.xml","541300845","2014-06-26","30099000","TO REDEEM ALL OUTSTANDING SERIES 2005 BONDS AND SERIES 2008 BONDS","0","0","0","A",NA
"202040629349300329","510205333","VIRGINIA MUSEUM OF FINE ARTS FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202040629349300329_public.xml","541300845","2014-06-26","10032000","TO REDEEM ALL OUTSTANDING SERIES 2005 BONDS AND SERIES 2008 BONDS","0","0","0","B",NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","431387649","2004-04-29","60000000","IMPROVEMENTS & ADDITIONS","false","false","false",NA,"606037AS8"
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","431387649","2008-08-28","108500000","REFUND 2001B SERIES & IMPROVEMENTS","false","false","false",NA,"606037BE8"
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","431387649","2010-03-09","37239955","REFUND 2001A SERIES","false","false","false",NA,"606037CF4"
"201903129349302130","620753887","COUNTRY MUSIC FOUNDATION INC","2018","990","https://s3.amazonaws.com/irs-form-990/201903129349302130_public.xml","521789764","2010-03-22","23035000","REFUNDING OF 1999 BOND ISSUE","0","0","0","A","NONEAVAIL"
"201340449349301169","941156258","CALIFORNIA ACADEMY OF SCIENCES","2011","990","https://s3.amazonaws.com/irs-form-990/201340449349301169_public.xml","630304653","2008-07-29","281450000","SEE PART V","false","false","false",NA,"13033WP98"
"201721179349301402","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201721179349301402_public.xml","454040561","2015-11-24","10700000","RENOVATION OF A BUILDING AND TO REFINANCE LIABILITY","0","0","0","A",NA
"201410739349300906","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2012","990","https://s3.amazonaws.com/irs-form-990/201410739349300906_public.xml","043431814","2012-05-03","6408949","REFUNDING ISSUE","0","0","0","A",NA
"201903019349300230","421415581","SALISBURY HOUSE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/201903019349300230_public.xml","426004577","2007-07-17","3555636","CAPITAL IMPROVEMENTS","0","0","0","A",NA
"201801319349302585","941156258","CALIFORNIA ACADEMY OF SCIENCES","2016","990","https://s3.amazonaws.com/irs-form-990/201801319349302585_public.xml","630304653","2008-07-29","281450000","SEE PART VI","false","false","false","A","13033WP98"
"201512889349301656","930402877","OREGON MUSEUM OF SCIENCE AND INDUSTRY","2014","990","https://s3.amazonaws.com/irs-form-990/201512889349301656_public.xml","936001787","2015-01-26","4160000","RE-FINANCING OF ORIGINAL CONSTRUCTION BOND","0","0","0","A",NA
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","911882413","2006-12-01","65000000","PARTIAL FUNDING OF CAPITAL PROJECT","false","false","false","A","649717NP6"
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","911882413","2006-12-01","65000000","PARTIAL FUNDING OF CAPITAL PROJECT","false","false","false","B","649717NQ4"
"201443189349304304","411260780","Plains Art Museum","2013","990","https://s3.amazonaws.com/irs-form-990/201443189349304304_public.xml","456002205","2005-12-15","2000000","Refund Series 1996 bonds issued October 1, 1996","0","0","0","A",NA
"201621279349300802","231365388","Philadelphia Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201621279349300802_public.xml","232237287","2010-06-23","66820000","Reissuance of Revenue Bonds(Philadelphia Museum of Art Project)Series 2008","0","0","0","A","7178184U9"
