"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_02_BOND_PROCEED_AMT_RETIRED","SK_02_BOND_PROCEED_TOT","SK_02_BOND_PROCEED_ISSUANCE_COST","SK_02_BOND_PROCEED_CAP_EXP","SK_02_BOND_PROCEED_Y_COMPLETION.","SK_02_BOND_PROCEED_REFUND_CURR_X","SK_02_BOND_PROCEED_REFUND_ADVC_X","SK_02_BOND_PROCEED_ALLOC_FINAL_X","SK_02_BOND_PROCEED_BOOK_RECORD_X","SK_02_BOND_ISSUE_REFERENCE_NUM","SK_02_BOND_PROCEED_OTH_SPENT","RefundingTaxExemptBondsInd","RefundingTaxableBondsInd","SK_02_BOND_PROCEED_AMT_DEFEASED","SK_02_BOND_PROCEED_RESERVE_FUND","SK_02_BOND_PROCEED_INT_CAP","SK_02_BOND_PROCEED_REFUND_ESCROW","SK_02_BOND_PROCEED_CREDIT_ENHANC","SK_02_BOND_PROCEED_CAP_EXP_WORK","SK_02_BOND_PROCEED_OTH_UNSPENT"
"201132039349300303","540541801","THE MARINERS' MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201132039349300303_public.xml","486619","10000000","20000","9980000","2007","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202101139349300315","952210527","CALIFORNIA SCIENCE CENTER FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202101139349300315_public.xml","10455000","60440728","775781",NA,NA,NA,NA,"1","1","A","59664948","1","0",NA,NA,NA,NA,NA,NA,NA
"201823169349302777","520668166","MARYLAND ACADEMY OF SCIENCES","2017","990","https://s3.amazonaws.com/irs-form-990/201823169349302777_public.xml",NA,"14000000","21998","13978002","2004","0","0","1","1","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201531189349301208","841366092","MUSEUM OF CONTEMPORARY ART DENVER","2013","990","https://s3.amazonaws.com/irs-form-990/201531189349301208_public.xml",NA,NA,NA,NA,NA,"false","false","true","true","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201623209349308232","043157815","PEABODY ESSEX MUSEUM INC","2015","990","https://s3.amazonaws.com/irs-form-990/201623209349308232_public.xml",NA,"29160000","190379",NA,"2003","1","0","1","1","A","28969621",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201232239349301298","362167797","Museum of Science and Industry","2011","990","https://s3.amazonaws.com/irs-form-990/201232239349301298_public.xml","0","64000000","429298","0",NA,"true","false","true","true",NA,"0",NA,NA,"0","0","0","62937702","0","633000","0"
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml",NA,"10725000","154421",NA,NA,NA,NA,"1","1","A",NA,"0","1",NA,"10725000",NA,NA,NA,NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml",NA,NA,NA,NA,NA,NA,NA,"1","1","B",NA,"1","0",NA,"14765000",NA,NA,NA,NA,NA
"202023189349311082","464118590","THE WALT DISNEY FAMILY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349311082_public.xml",NA,"54039076","711782",NA,"2016",NA,NA,"1","1","A","53327294","0","1",NA,NA,NA,NA,NA,NA,NA
"201311219349300411","311620682","MONTPELIER FOUNDATION INC","2012","990","https://s3.amazonaws.com/irs-form-990/201311219349300411_public.xml",NA,"9100000",NA,"9100000","2007","0","0","1","1","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml",NA,"77545000","530475","77014525","2003","0","0","1","1","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","4010000","33825749","592621",NA,"2010","1","0","0","1","B",NA,NA,NA,NA,NA,NA,"33212755",NA,NA,"20373"
"202023189349305547","461479450","INTERNATIONAL SPY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349305547_public.xml",NA,"49312307","577602","48734705","2019",NA,NA,"0","1","A",NA,"0","0",NA,NA,NA,NA,NA,NA,NA
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","0","91582917","861928","90560389","2009","false","false","true","true","A","0",NA,NA,"0","0","0","0","160600","0","0"
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","0","75917326","917326","75000000","2013","false","false","true","true","B","0",NA,NA,"0","0","0","0","0","0","0"
"202002309349303615","954739699","PETERSEN AUTOMOTIVE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202002309349303615_public.xml","1854064","39600000","11993","39588007","2015",NA,NA,"1","1","A",NA,"0","0",NA,NA,NA,NA,NA,NA,NA
"202040629349300329","510205333","VIRGINIA MUSEUM OF FINE ARTS FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202040629349300329_public.xml",NA,"30099000","99000",NA,NA,NA,NA,"1","1","A","30000000","1","0",NA,NA,NA,NA,NA,NA,NA
"202040629349300329","510205333","VIRGINIA MUSEUM OF FINE ARTS FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202040629349300329_public.xml",NA,"10032000","32000",NA,NA,NA,NA,"1","1","B","10000000","1","0",NA,NA,NA,NA,NA,NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml",NA,"63709527","733679","54605792","2007","false","false","true","true",NA,NA,NA,NA,NA,NA,"8370056",NA,NA,NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","500000","108838257",NA,NA,NA,"true","false","false","true",NA,"22434356",NA,NA,NA,NA,NA,"85217986",NA,NA,"1185915"
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","455000","37239955","476181",NA,"2007","false","true","true","true",NA,"50079",NA,NA,NA,NA,NA,"36713695",NA,NA,NA
"201903129349302130","620753887","COUNTRY MUSIC FOUNDATION INC","2018","990","https://s3.amazonaws.com/irs-form-990/201903129349302130_public.xml","22035000","23035000",NA,NA,"2001",NA,NA,"1","1","A",NA,"1","0",NA,NA,NA,NA,NA,NA,NA
"201340449349301169","941156258","CALIFORNIA ACADEMY OF SCIENCES","2011","990","https://s3.amazonaws.com/irs-form-990/201340449349301169_public.xml","0","281450000","3350444","97679556","2008","false","true","true","true",NA,"0",NA,NA,"0","0","0","180420000","0","0","0"
"201721179349301402","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201721179349301402_public.xml",NA,NA,"284930","251777",NA,"0","0","1","1","A",NA,NA,NA,NA,"10700000",NA,NA,NA,"7642764","2520529"
"201410739349300906","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2012","990","https://s3.amazonaws.com/irs-form-990/201410739349300906_public.xml","550000","6408949","96449",NA,"2006","1","0","1","1","A",NA,NA,NA,NA,NA,NA,NA,NA,"6312500",NA
"201903019349300230","421415581","SALISBURY HOUSE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/201903019349300230_public.xml",NA,"3555636","31000","3524636","2007",NA,NA,"1","1","A",NA,"1","0",NA,NA,NA,NA,NA,NA,NA
"201801319349302585","941156258","CALIFORNIA ACADEMY OF SCIENCES","2016","990","https://s3.amazonaws.com/irs-form-990/201801319349302585_public.xml","0","281450000","3350444","97679556","2008","false","true","true","true","A","0",NA,NA,"0","0","0","180420000","0","0","0"
"201512889349301656","930402877","OREGON MUSEUM OF SCIENCE AND INDUSTRY","2014","990","https://s3.amazonaws.com/irs-form-990/201512889349301656_public.xml",NA,"4160000","68311",NA,"1992","1","0","1","1","A","4091689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","0","65000000","795690","64204310",NA,NA,NA,"true","true","A","0","false","false","0","0","0","0","0","0","0"
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","0","65000000","795690","64204310",NA,NA,NA,"true","true","B","0","false","false","0","0","0","0","0","0","0"
"201443189349304304","411260780","Plains Art Museum","2013","990","https://s3.amazonaws.com/irs-form-990/201443189349304304_public.xml","596955","2000000",NA,NA,NA,"1","0","1","1","A","2000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201621279349300802","231365388","Philadelphia Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201621279349300802_public.xml","11525000","66820000",NA,NA,"2010","1","0","1","1","A","66820000",NA,NA,NA,NA,NA,"66820000",NA,NA,NA
