"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_04_BOND_ARB_FORM_8038_FILED_X","SK_04_BOND_ARB_VAR_RATE_ISSUE_X","SK_04_BOND_ARB_HEDGE_IDENTIFY_X","SK_04_BOND_ARB_GIC_INVESTED_X","SK_04_BOND_ARB_PROCEED_INVEST_X","SK_04_BOND_ARB_REBATE_EXCEPT_X","SK_04_BOND_ISSUE_REFERENCE_NUM","SK_04_BOND_ARB_REBATE_NOT_DUE_X","SK_04_BOND_ARB_NO_REBATE_DUE_X","SK_04_BOND_ARB_WRITTEN_PROC_X","SK_04_BOND_ARB_HEDGE_TERM","SK_04_BOND_ARB_HEDGE_INTEGRATE_X","SK_04_BOND_ARB_HEDGE_TERMINATE_X","SK_04_BOND_ARB_GIC_TERM","SK_04_BOND_ARB_GIC_SAFE_HARBOR_X"
"201132039349300303","540541801","THE MARINERS' MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201132039349300303_public.xml","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202101139349300315","952210527","CALIFORNIA SCIENCE CENTER FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202101139349300315_public.xml","0","0","0","0","0","1","A","1","0","1",NA,NA,NA,NA,NA
"201823169349302777","520668166","MARYLAND ACADEMY OF SCIENCES","2017","990","https://s3.amazonaws.com/irs-form-990/201823169349302777_public.xml","0","0","0","0","0","0","A","0","0","0",NA,NA,NA,NA,NA
"201531189349301208","841366092","MUSEUM OF CONTEMPORARY ART DENVER","2013","990","https://s3.amazonaws.com/irs-form-990/201531189349301208_public.xml","false","false","false","false","false","false","A","false","false","false",NA,NA,NA,NA,NA
"201623209349308232","043157815","PEABODY ESSEX MUSEUM INC","2015","990","https://s3.amazonaws.com/irs-form-990/201623209349308232_public.xml","0","0","0","0",NA,"0","A","1","0","1",NA,NA,NA,NA,NA
"201232239349301298","362167797","Museum of Science and Industry","2011","990","https://s3.amazonaws.com/irs-form-990/201232239349301298_public.xml","false","true","false","false","false","false",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","1","0","0","0","0",NA,"A",NA,NA,"0",NA,NA,NA,NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","1","0","0","0","0",NA,"B",NA,NA,"0",NA,NA,NA,NA,NA
"202023189349311082","464118590","THE WALT DISNEY FAMILY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349311082_public.xml","0","0","0","0","0","0","A","1","0","1",NA,NA,NA,NA,NA
"201311219349300411","311620682","MONTPELIER FOUNDATION INC","2012","990","https://s3.amazonaws.com/irs-form-990/201311219349300411_public.xml","0","1","1","0","0","0","A","0","0","0","5.000000000000","1","0",NA,NA
