"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SL_04_BIZTRANSAC_RELATIONSHIP","SL_04_BIZTRANSAC_AMT","SL_04_BIZTRANSAC_DESC","SL_04_BIZTRANSAC_SHARING_REV_X"
"202140159349301029","943244506","California Indian Museum & Cultural Center","2019","990","https://s3.amazonaws.com/irs-form-990/202140159349301029_public.xml","Executive Director","154754","Daughter of Bd Mbr is Exec Dir comp serv","false"
"202140159349301029","943244506","California Indian Museum & Cultural Center","2019","990","https://s3.amazonaws.com/irs-form-990/202140159349301029_public.xml","Daughter of Exec Dir","44016","Compensation for svcs as teacher","false"
"202140159349301029","943244506","California Indian Museum & Cultural Center","2019","990","https://s3.amazonaws.com/irs-form-990/202140159349301029_public.xml","Mother of Exec Dir wife of Board Mb","32318","Compensation for services","false"
"202140159349301029","943244506","California Indian Museum & Cultural Center","2019","990","https://s3.amazonaws.com/irs-form-990/202140159349301029_public.xml","Daughter of Exec Dir","1375","Stipend","false"
"202140159349301029","943244506","California Indian Museum & Cultural Center","2019","990","https://s3.amazonaws.com/irs-form-990/202140159349301029_public.xml","Daughter of Exec Dir","2312","Stipend","false"
"201943189349314704","943073894","TAHOE MARITIME MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201943189349314704_public.xml","BOARD MEMBER","8905","SERVICES & FUEL PURCHASED","false"
"201943189349314704","943073894","TAHOE MARITIME MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201943189349314704_public.xml","BOARD MEMBER","38253","PRINTING","false"
"201943189349314704","943073894","TAHOE MARITIME MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201943189349314704_public.xml","BOARD MEMBER","1500","POSTERS","false"
"202013089349302476","223199269","STEPPING STONES MUSEUM FOR CHILDREN","2019","990","https://s3.amazonaws.com/irs-form-990/202013089349302476_public.xml","DIRECTOR (2019), SIGNIFICANT DONOR",NA,"ORGANIZATION ENTERED INTO A LINE OF CREDIT RELATIONSHIP TO BE USED FOR THE EXPANSION OF THE MUSEUM. CREDIT LINE INITIALLY SERVED AS BRIDGE FINANCING UNTIL PLEDGES AND DONATIONS WERE RECEIVED TO COVER CONSTRUCTION COSTS. EFFECTIVE 2012 THE LINE WAS ALSO USED TO SUPPORT EXHIBIT EXPANSION AND CREATION. TERMS OF CREDIT LINE ARE AN ARMS LENGTH TRANSACTION AND ARE BASED ON CURRENT MARKET TERMS. LINE IS GUARANTEED AND SECURED WITH COLLATERAL PROVIDED BY THE RELATED PARTY. LINE WAS PAID OFF AS OF 12/31/17; HOWEVER, THE LINE REMAINS OPEN.","0"
"201723149349300042","411260780","Plains Art Museum","2016","990","https://s3.amazonaws.com/irs-form-990/201723149349300042_public.xml","Board Member Tom Dawson owns Dawson Insurance","27279","Plains Art Museum pays an insurance premium to Tom Dawson's insurance company, Dawson Insurance","0"
"201303189349303195","636051240","SOUTHERN MUSEUM OF FLIGHT FDN INC","2012","990","https://s3.amazonaws.com/irs-form-990/201303189349303195_public.xml","OWNER OF GRIFFIN CONSULTING INC.","99822","JAMES T. GRIFFIN'S SERVICES ARE PROVIDED BY GRIFFIN CONSULTING INC.","0"
