"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SM_01_OTH_NONCSH_X","SM_01_OTH_NONCSH_DESC","SM_01_OTH_NUM_CONTR","SM_01_OTH_NONCSH_CONTR","SM_01_OTH_METHOD_REV"
"201701329349307250","660537284","MUSEO DE ARTE DE PUERTO RICO INC","2015","990","https://s3.amazonaws.com/irs-form-990/201701329349307250_public.xml","X","LEGAL SERVICES","1","17945",NA
"201701329349307250","660537284","MUSEO DE ARTE DE PUERTO RICO INC","2015","990","https://s3.amazonaws.com/irs-form-990/201701329349307250_public.xml","X","DECORATION","1","35000",NA
"201701329349307250","660537284","MUSEO DE ARTE DE PUERTO RICO INC","2015","990","https://s3.amazonaws.com/irs-form-990/201701329349307250_public.xml","X","PRODUCTS","1","9755",NA
"201910569349300601","590910352","ORLANDO MUSEUM OF ART INC","2017","990","https://s3.amazonaws.com/irs-form-990/201910569349300601_public.xml","X","EVENT SUPPLIES, DECORATIONS, GIFT CARDS FOR RESALE","271","452473","FAIR MARKET VALUE"
"201531559349300333","810454269","NATIONAL MUSEUM OF FOREST SERVICE HISTORY","2014","990","https://s3.amazonaws.com/irs-form-990/201531559349300333_public.xml","X","HISTORIC ITEMS","3025","0",NA
"202033079349302478","811771777","SANKOFA CHILDRENS MUSEUM OF AFRICAN CULTURES INC","2019","990","https://s3.amazonaws.com/irs-form-990/202033079349302478_public.xml","X","AFRICAN ARTIFACTS",NA,NA,NA
"201803189349308745","376059760","MONTICELLO RAILWAY MUSEUM INC","2017","990","https://s3.amazonaws.com/irs-form-990/201803189349308745_public.xml","X",NA,"3","28500","FAIR MARKET VALUE"
"201133149349302713","470727929","KEARNEY AREA CHILDREN'S MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201133149349302713_public.xml","X","Building Construction","6","9024","FMV"
"202100979349300745","363162484","Chicago Children's Museum","2019","990","https://s3.amazonaws.com/irs-form-990/202100979349300745_public.xml","X","other auction items","141","57245","fair market value"
"201402239349301425","201304081","CANDLER FIELD MUSEUM INC","2012","990","https://s3.amazonaws.com/irs-form-990/201402239349301425_public.xml","X","USE OF FACILITY","1","3380","ACTUAL COST"
"201122039349300322","510138441","THE MAGIC HOUSE","2010","990","https://s3.amazonaws.com/irs-form-990/201122039349300322_public.xml","X","SUPPLIES EXHIBITS/PROGRAMS","11","234748","FMV"
"201403169349304410","810361663","PARIS GIBSON SQUARE INC","2013","990","https://s3.amazonaws.com/irs-form-990/201403169349304410_public.xml","X","SUPPLIES","1","313","PURCHASE PRICE"
"201131369349305663","201041301","St Lawrence Power & Equipment Museum","2010","990","https://s3.amazonaws.com/irs-form-990/201131369349305663_public.xml","X","Material/Supply","9","5818","Cost"
"201433219349302038","135562233","SOLOMON R GUGGENHEIM FOUNDATION","2013","990","https://s3.amazonaws.com/irs-form-990/201433219349302038_public.xml","X","Gala Auction","3","570000","Auction proceeds"
"201433219349302038","135562233","SOLOMON R GUGGENHEIM FOUNDATION","2013","990","https://s3.amazonaws.com/irs-form-990/201433219349302038_public.xml","X","Renovation","1","174142","Cost"
"201433219349302038","135562233","SOLOMON R GUGGENHEIM FOUNDATION","2013","990","https://s3.amazonaws.com/irs-form-990/201433219349302038_public.xml","X","Discount on materials","1","147559","Cost"
"201603209349315995","752804188","FORT CHADBOURNE FOUNDATION","2015","990","https://s3.amazonaws.com/irs-form-990/201603209349315995_public.xml","X","SUPPLIES","1","816","FMV"
"202021779349301542","453138892","OAKLAND MUSEUM OF CALIFORNIA","2018","990","https://s3.amazonaws.com/irs-form-990/202021779349301542_public.xml","X","EXHIBITION DONATION","2","64417","COST"
"202021779349301542","453138892","OAKLAND MUSEUM OF CALIFORNIA","2018","990","https://s3.amazonaws.com/irs-form-990/202021779349301542_public.xml","X","SOFTWARE LICENSES","1","34574","COST"
"202021779349301542","453138892","OAKLAND MUSEUM OF CALIFORNIA","2018","990","https://s3.amazonaws.com/irs-form-990/202021779349301542_public.xml","X","AUCTION ITEMS","3","12595","COST"
"202011969349303371","834148902","THE ADAM LEVENTHAL MEMORIAL SCHOOL AND","2019","990","https://s3.amazonaws.com/irs-form-990/202011969349303371_public.xml","X","PROGRAM/CLASS SUPPLIES","1","127032","FAIR MARKET VALUE"
