"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SN_01_LTD_ASSET_DIST_DESC","SN_01_LTD_ASSET_DIST_DATE","SN_01_LTD_ASSET_DIST_FMV","SN_01_LTD_ASSET_DIST_FMV_METHOD","SN_01_LTD_RECIP_EIN","SN_01_LTD_RECIP_IRC_SECTION","LiquidationOfAssetsTableGrp","SN_01_LTD_RECIP_NAME_PERS"
"201720489349200502","205838514","IOWA INNOVATION LEARNING CENTER INC","2016","990EZ","https://s3.amazonaws.com/irs-form-990/201720489349200502_public.xml","CASH","2016-12-27","17525","BANK CASH VALUE","426053860","501(C)(3)",NA,NA
"202140449349300814","472543556","BIG IMAGINATION FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202140449349300814_public.xml",NA,NA,NA,NA,NA,NA,"",NA
"201910159349200706","352104062","TIPPECANOE STEAM & GAS POWER","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201910159349200706_public.xml","CASH","2018-08-31","1613","COST","351515914","501(C)3",NA,"NORTHERN INDIANA POWER FROM PAST"
"201910159349200706","352104062","TIPPECANOE STEAM & GAS POWER","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201910159349200706_public.xml","CASH","2018-08-31","1217","COST","300230259","501(C)3",NA,"ILLIANA ANTIQUE POWER ASSOCIATION"
"201910159349200706","352104062","TIPPECANOE STEAM & GAS POWER","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201910159349200706_public.xml","CASH","2018-08-31","1720","COST",NA,NA,NA,"TIPPECANOE TOWNSHIP FIRE DEPT"
"201910159349200706","352104062","TIPPECANOE STEAM & GAS POWER","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201910159349200706_public.xml","CASH","2018-08-31","1765","COST","203011505","501(C)3",NA,"WHITE COUNTY ANTIQUE POWER ASSOCIAT"
"201910159349200706","352104062","TIPPECANOE STEAM & GAS POWER","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201910159349200706_public.xml","CASH","2018-08-31","867","COST",NA,NA,NA,"BATTLE GROUND UNITED METHODIST CHUR"
"201910159349200706","352104062","TIPPECANOE STEAM & GAS POWER","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201910159349200706_public.xml","CASH","2018-08-31","822","COST",NA,NA,NA,"BUCK CREEK UNITED METHODIST CHURCH"
"201910159349200706","352104062","TIPPECANOE STEAM & GAS POWER","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201910159349200706_public.xml","CASH","2018-08-31","791","COST",NA,NA,NA,"MODIFIED ATHLETICS FOR KIDS"
"201910159349200706","352104062","TIPPECANOE STEAM & GAS POWER","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201910159349200706_public.xml","CASH","2018-08-31","943","COST",NA,NA,NA,"INDIANA CORNHUSKERS ASSOCIATION"
