"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SN_02_DOA_ASSET_DIST_DESC","SN_02_DOA_ASSET_DIST_DATE","SN_02_DOA_ASSET_DIST_FMV","SN_02_DOA_ASSET_DIST_FMV_METHOD","SN_02_DOA_RECIP_EIN","SN_02_DOA_RECIP_IRC_SECTION","SN_02_DOA_RECIP_NAME_PERS"
"201601979349301130","311702109","The Texas A&M Health Science Center","2014","990","https://s3.amazonaws.com/irs-form-990/201601979349301130_public.xml","Investments","2014-12-14","11410677","Publicly available","742245072","(c)(3)",NA
"202140449349300814","472543556","BIG IMAGINATION FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202140449349300814_public.xml","747 PROJECT PLANE","2019-11-21","1289004","ACTUAL COST WITH DEPREC.","943331255","CORPORATION","ZAPPOS"
"202140449349300814","472543556","BIG IMAGINATION FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202140449349300814_public.xml","SCISSOR LIFT","2020-01-27","1662","ACTUAL COST WITH DEPREC.",NA,"INDIVIDUAL","BRAD PEIKPEIK CONSTRUCTION"
"202140449349300814","472543556","BIG IMAGINATION FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202140449349300814_public.xml","TRUCK & TUG","2019-10-31","0","WORTHLESS/COMPARABLE",NA,"NOT APPLICABLE",NA
"202033209349302188","822852303","LIVING COMPUTER MUSEUM & LABS","2019","990","https://s3.amazonaws.com/irs-form-990/202033209349302188_public.xml","CASH & CASH EQUIVALENTS","2019-01-26","12478",NA,"460979323","501(C)(3)",NA
"202033209349302188","822852303","LIVING COMPUTER MUSEUM & LABS","2019","990","https://s3.amazonaws.com/irs-form-990/202033209349302188_public.xml","ACCOUNTS RECEIVABLE","2019-01-26","1183576",NA,"460979323","501(C)(3)",NA
"201341069349300709","570956189","BOB JONES UNIVERSITY MUSEUM & GALLERY INC","2011","990","https://s3.amazonaws.com/irs-form-990/201341069349300709_public.xml","SEE SCHEDULE O","2011-09-01","2407304","FMV APPROXIMATES ACTUAL COST","576000356","GOVERNMENTAL",NA
"201631349349305168","541687862","NATIONAL SLAVERY MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201631349349305168_public.xml","LAND","2015-05-28","15762145","COURT SETTLEMENT","263546499","LLC","DIAMOND NATION LLC"
"201631349349305168","541687862","NATIONAL SLAVERY MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201631349349305168_public.xml","BUILDING","2015-05-28","1701538","COURT SETTLEMENT","263546499","LLC","DIAMOND NATON LLC"
"201631349349305168","541687862","NATIONAL SLAVERY MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201631349349305168_public.xml","SOF-GARDEN","2015-05-28","50457","COURT SETTLEMENT","263546499","LLC","DIAMOND NATION LLC"
"201911349349203466","810565174","The Roger Miller Museum Trust","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201911349349203466_public.xml","Furniture & Fixtures","2018-01-22","5642","Comparable Sales","731038640","501C3","The 100th Meridian Museum Inc"
"201911349349203466","810565174","The Roger Miller Museum Trust","2017","990EZ","https://s3.amazonaws.com/irs-form-990/201911349349203466_public.xml","Building","2018-04-01","50000","Comparable Sales","731038640","501C3","The 100th Meridian Museum Inc"
"202001679349301800","205039673","VIRGINIA SPORTS HALL OF FAME FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202001679349301800_public.xml","INVESTMENTS IN PUBLICLY TRADED SECURITIES WERE SOLD","2018-11-30","1588112","AMOUNT OF CASH TRANSFERRED ON BEHALF OF VIRGINIA SPORTS HALL OF FAME, INC.","541910608","CORPORATION",NA
"201233039349300728","351809830","CITY OF FIRSTS AUTOMOTIVE HERITAGE MUSEUM INC","2011","990","https://s3.amazonaws.com/irs-form-990/201233039349300728_public.xml","EQUIPMENT, BUILDING IMPROVEMENTS, LAND IMPROVEMENTS, AND FURNITURE & FIXTURES","2011-06-01","510580","BOOK VALUE BASED ON ACTUAL COST LESS DEPRECIATION","356001568","509(A)(3)- TYPE III-0",NA
"201341359349304329","050387774","THE MUSEUM OF YACHTING INC","2011","990","https://s3.amazonaws.com/irs-form-990/201341359349304329_public.xml","ADVOCETTE III, AN ORIGINAL HUCKINS MOTOR YACHT","2011-11-05","0","UNRESTORED VALUE","043349655","CORPORATION",NA
