"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_04_RLTD_ORG_CORP_EIN","SR_04_RLTD_ORG_CORP_PRIMARY_ACT","SR_04_RLTD_ORG_CORP_DMCL_STATE","SR_04_RLTD_ORG_CORP_CTRL_NA","SR_04_RLTD_ORG_CORP_TYPE","SR_04_RLTD_ORG_CORP_TOT_INCOME","SR_04_RLTD_ORG_CORP_EOY_ASSETS","SR_04_RLTD_ORG_CORP_PCT_OWN","SR_04_RLTD_ORG_CORP_CTRL_512_X","SR_04_RLTD_ORG_CORP_DMCL_CNTR"
"201741319349305654","131624100","MUSEUM OF MODERN ART","2015","990","https://s3.amazonaws.com/irs-form-990/201741319349305654_public.xml","134114902","General Business Corporation","DE","N/A","C","0","857198","1","0",NA
"201741319349305654","131624100","MUSEUM OF MODERN ART","2015","990","https://s3.amazonaws.com/irs-form-990/201741319349305654_public.xml",NA,"Trust","NY","N/A","T",NA,NA,NA,"0",NA
"201343199349303589","251477779","OIL CREEK RAILWAY HISTORICAL","2012","990","https://s3.amazonaws.com/irs-form-990/201343199349303589_public.xml","810667831","MOTEL","PA",NA,"C CORP","-4662","9542","1.00000","false",NA
"201503069349300805","237029065","INDIANA RAILWAY MUSEUM INC","2014","990","https://s3.amazonaws.com/irs-form-990/201503069349300805_public.xml","351894448","FREIGHT RAILROAD","IN",NA,"C","100","100","1.00000","false",NA
"201923199349320472","411658987","THE SOAP FACTORY","2018","990","https://s3.amazonaws.com/irs-form-990/201923199349320472_public.xml","824716533","NONRESIDENTIAL RENTAL","MN",NA,"C",NA,NA,"1.00000","0",NA
"201941149349301129","730528431","Oklahoma City Museum of Art Inc","2017","990","https://s3.amazonaws.com/irs-form-990/201941149349301129_public.xml","331041277","Restaurant","OK",NA,"C","969091","144169","1.00000","1",NA
"201542269349302814","541713204","AMAZEMENT SQUARE THE RIGHTMIRE CHILDREN'S MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201542269349302814_public.xml","542018720","REAL ESTATE DEVELOPMENT","VA",NA,NA,NA,NA,NA,"0",NA
"201303409349300420","440558499","THE WILLIAM ROCKHILL NELSON TRUST","2012","990","https://s3.amazonaws.com/irs-form-990/201303409349300420_public.xml",NA,"Perpetual Trusts",NA,NA,"Trust",NA,NA,NA,NA,NA
"201543089349300819","742497117","DR PEPPER MUSEUM AND FREE ENTERPRISE INSTITUTE","2014","990","https://s3.amazonaws.com/irs-form-990/201543089349300819_public.xml","742595972","OPERATION OF GIFT SHOP","TX",NA,"C",NA,NA,"1.00000","0",NA
"201812789349301226","042203829","LONGYEAR FOUNDATION","2017","990","https://s3.amazonaws.com/irs-form-990/201812789349301226_public.xml","046011948","FUNDING FOR OPERATIONS","MA","N/A","T","580651","11630787","1.00000","1",NA
"201812789349301226","042203829","LONGYEAR FOUNDATION","2017","990","https://s3.amazonaws.com/irs-form-990/201812789349301226_public.xml","026105159","FUNDING FOR CONCORD HOUSE","NH","N/A","T","3576","178502","1.00000","1",NA
"201812789349301226","042203829","LONGYEAR FOUNDATION","2017","990","https://s3.amazonaws.com/irs-form-990/201812789349301226_public.xml","999999999","FUNDING FOR OPERATIONS","MA","N/A","T","6341","559476","1.00000","1",NA
"201721329349302877","344434678","THE TOLEDO MUSEUM OF ART","2015","990","https://s3.amazonaws.com/irs-form-990/201721329349302877_public.xml",NA,"CHARITABLE CONTRIBUTIONS","OH","N/A",NA,NA,NA,NA,"0",NA
"201721329349302877","344434678","THE TOLEDO MUSEUM OF ART","2015","990","https://s3.amazonaws.com/irs-form-990/201721329349302877_public.xml",NA,"CHARITABLE CONTRIBUTIONS","OH","N/A",NA,NA,NA,NA,"0",NA
"201711329349300011","530199180","Trustees for Harvard University","2015","990","https://s3.amazonaws.com/irs-form-990/201711329349300011_public.xml","201973523","INVESTMENTS",NA,NA,"C Corporation",NA,NA,NA,"false","CA"
"201711329349300011","530199180","Trustees for Harvard University","2015","990","https://s3.amazonaws.com/irs-form-990/201711329349300011_public.xml",NA,"INVESTMENTS",NA,NA,"C Corporation",NA,NA,NA,"false","CA"
"201711329349300011","530199180","Trustees for Harvard University","2015","990","https://s3.amazonaws.com/irs-form-990/201711329349300011_public.xml","980684328","INVESTMENTS",NA,NA,"C Corporation",NA,NA,NA,"false","CA"
"201711329349300011","530199180","Trustees for Harvard University","2015","990","https://s3.amazonaws.com/irs-form-990/201711329349300011_public.xml",NA,"INVESTMENTS",NA,NA,"C Corporation",NA,NA,NA,"false","CI"
"201711329349300011","530199180","Trustees for Harvard University","2015","990","https://s3.amazonaws.com/irs-form-990/201711329349300011_public.xml",NA,"INVESTMENTS",NA,NA,"C Corporation",NA,NA,NA,"false","CI"
