"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_09_EXP_OTH_DESC","F9_09_EXP_OTH_TOT","F9_09_EXP_OTH_PROG","F9_09_EXP_OTH_MGMT","F9_09_EXP_OTH_FUNDR"
"202042269349302524","850232968","INDIAN PUEBLO CULTURAL CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202042269349302524_public.xml","ADMINISTRATIVE","528765","208734","271546","48485"
"202042269349302524","850232968","INDIAN PUEBLO CULTURAL CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202042269349302524_public.xml","EVENT/PERFORMANCE","103966","103966",NA,NA
"202042269349302524","850232968","INDIAN PUEBLO CULTURAL CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202042269349302524_public.xml","MUSEUM","53266","48154","5112",NA
"202042269349302524","850232968","INDIAN PUEBLO CULTURAL CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202042269349302524_public.xml","MEMBERSHIP","17078","17078",NA,NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","EXHIBITS","102736","102736",NA,NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","UNCOLLECTIBLE ADVANCES","71556",NA,"71556",NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","SPECIAL PROJECTS AND AC","49638","22300","24552","2786"
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","PROGRAMS AND OTHER SERV","37432","37432",NA,NA
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","MISCELLANEOUS","356503","345816","3357","7330"
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","EVENT EXPENSES","214962","114964","36772","63226"
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","SUPPLIES","208039","205585","1840","614"
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","EQUIPMENT RENTALS","117590","108202","899","8489"
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","MISCELLANEOUS","209528","131217","50468","27843"
"201632149349300118","590838924","TALLAHASSEE MUSEUM OF HISTORY AND","2014","990","https://s3.amazonaws.com/irs-form-990/201632149349300118_public.xml","PUBLICITY","90748","90748",NA,NA
"201632149349300118","590838924","TALLAHASSEE MUSEUM OF HISTORY AND","2014","990","https://s3.amazonaws.com/irs-form-990/201632149349300118_public.xml","EQUIPMENT","70090","61598","8492",NA
"201632149349300118","590838924","TALLAHASSEE MUSEUM OF HISTORY AND","2014","990","https://s3.amazonaws.com/irs-form-990/201632149349300118_public.xml","ANIMAL CARE","40958","40958",NA,NA
"201632149349300118","590838924","TALLAHASSEE MUSEUM OF HISTORY AND","2014","990","https://s3.amazonaws.com/irs-form-990/201632149349300118_public.xml","COLLECTIONS & EXHIBITS","36146","36146",NA,NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","EXHIBITS","2083355","2080788","2567",NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","EDUCATION AND EVENTS","445320","445320",NA,NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","ANNUAL APPEAL & CULTIVA","134728",NA,NA,"134728"
"202130539349300123","010911124","STEPHEN J PONZILLO JR MEMORIAL LIBRARY","2019","990","https://s3.amazonaws.com/irs-form-990/202130539349300123_public.xml","SHARED PERSONNEL EXP.","47666","47666",NA,NA
"201523159349300927","465412811","SUGAR HILL CHILDREN'S MUSEUM OF ART","2014","990","https://s3.amazonaws.com/irs-form-990/201523159349300927_public.xml","FOOD","22398","22398",NA,NA
"201523159349300927","465412811","SUGAR HILL CHILDREN'S MUSEUM OF ART","2014","990","https://s3.amazonaws.com/irs-form-990/201523159349300927_public.xml","MISCELLANEOUS","14085","14085",NA,NA
