"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SD_10_LIAB_OTH_DESC","SD_10_LIAB_OTH_BV"
"201312269349303076","382561101","US NATIONAL SKI HALL OF FAME AND MUSEUM INC","2012","990","https://s3.amazonaws.com/irs-form-990/201312269349303076_public.xml","Federal income taxes",NA
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","CONSIGNMENT LIABILITIES","11801"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","GIFT CERTIFICATES PAYABLE","2675"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","ACCRUED SALES TAX","1401"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","DEFERRED INCOME","13107"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","SHIPPING PAYABLE","195"
"202043219349310114","371794566","THE MUSEUM OF CONSCIOUSNESS INC","2019","990","https://s3.amazonaws.com/irs-form-990/202043219349310114_public.xml","LOAN PAYABLE-C. VENGROFF","37003"
"201602109349300300","530206027","Smithsonian Institution","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300300_public.xml","Environmental remediation obligation","50341604"
"201823099349301087","465412811","SUGAR HILL CHILDREN'S MUSEUM OF ART","2017","990","https://s3.amazonaws.com/irs-form-990/201823099349301087_public.xml","DUE TO AFFILIATES","42557"
"201823099349301087","465412811","SUGAR HILL CHILDREN'S MUSEUM OF ART","2017","990","https://s3.amazonaws.com/irs-form-990/201823099349301087_public.xml","STRAIGHT-LINE RENT DEFERRAL","239448"
"202012809349301241","911976065","Drayton Harbor Maritime","2019","990","https://s3.amazonaws.com/irs-form-990/202012809349301241_public.xml","Damage deposit","200"
"201702559349300615","111782495","THE PARRISH ART MUSEUM INC","2016","990","https://s3.amazonaws.com/irs-form-990/201702559349300615_public.xml","Other Liabilities","36598"
"201702559349300615","111782495","THE PARRISH ART MUSEUM INC","2016","990","https://s3.amazonaws.com/irs-form-990/201702559349300615_public.xml","Conditional promises to give","141000"
"201421479349300722","846039410","Fort Morgan Heritage Foundation","2013","990","https://s3.amazonaws.com/irs-form-990/201421479349300722_public.xml","Federal income taxes",NA
"201421479349300722","846039410","Fort Morgan Heritage Foundation","2013","990","https://s3.amazonaws.com/irs-form-990/201421479349300722_public.xml","Sales tax payable","117"
"202121379349304852","520852975","BALTIMORE STREETCAR MUSEUM INC","2019","990","https://s3.amazonaws.com/irs-form-990/202121379349304852_public.xml","RESERVE FOR UNREDEEMED TOKENS","300"
"201542889349300434","381791320","THE HERITAGE MUSEUM AND CULTURAL CENTER INC","2014","990","https://s3.amazonaws.com/irs-form-990/201542889349300434_public.xml","NOTES PAYABLE","269252"
"201542889349300434","381791320","THE HERITAGE MUSEUM AND CULTURAL CENTER INC","2014","990","https://s3.amazonaws.com/irs-form-990/201542889349300434_public.xml","RENTAL DEPOSITS","46720"
"202111329349304076","426090398","FIGGE ART MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202111329349304076_public.xml","REFUNDABLE ADVANCE - PPP","264400"
"202111329349304076","426090398","FIGGE ART MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202111329349304076_public.xml","DUE TO RELATED ORGANIZATION","12500"
"202120569349300247","463009387","NATIONAL MARITIME MUSEUM OF THE","2019","990","https://s3.amazonaws.com/irs-form-990/202120569349300247_public.xml","DUE TO NMM","7519225"
"201913189349301806","237080936","MUSEUM OF SOUTH TEXAS HISTORY","2018","990","https://s3.amazonaws.com/irs-form-990/201913189349301806_public.xml","ACCRUED EXPENSES","55599"
