"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SF_02_FRGN_ORG_GRANT_REGION","SF_02_FRGN_ORG_GRANT_PURPOSE","SF_02_FRGN_ORG_GRANT_AMT","SF_02_FRGN_ORG_GRANT_DISBMT","SF_02_FRGN_ORG_GRANT_NC_DESC","SF_02_FRGN_ORG_GRANT_NC_MOV","SF_02_FRGN_ORG_GRANT_NC_AMT"
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","SUB-SAHARAN AFRICA - ANGOLA, BENIN, BOTSWANA, BURKINA, FASO,","STIPEND FOR RESEARCH","19400","WIRE",NA,NA,NA
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","SOUTH AMERICA","STIPEND FOR RESEARCH","171274","WIRE",NA,NA,NA
"201630909349300448","941156258","CALIFORNIA ACADEMY OF SCIENCES","2014","990","https://s3.amazonaws.com/irs-form-990/201630909349300448_public.xml","Sub-Saharan Africa","Specimen expedition grant","23897","WIRE","N/A","N/A",NA
"201200729349300220","223599261","THE INTERNATIONAL FRIENDS OF THE","2010","990","https://s3.amazonaws.com/irs-form-990/201200729349300220_public.xml","MONTREAL CANADA","TO PROMOTE PUBLIC INTEREST IN THE MONTREAL MUSEUM OF FINE ARTS.",NA,NA,"144 BOOKS AND 49 PORCELAIN WORKS","APPRAISAL","27779"
"201821289349301772","133329464","The Foundation for the Jewish Historical Museum in Amsterdam Inc","2017","990","https://s3.amazonaws.com/irs-form-990/201821289349301772_public.xml","Europe","Support Museum","100000","Direct withrawal",NA,NA,NA
"202020709349300042","510254205","AMERICAN FOUNDATION FOR THE NATIONAL","2019","990","https://s3.amazonaws.com/irs-form-990/202020709349300042_public.xml","Europe (Including Iceland & Greenland)","SUPPORT FOR CURATORIAL PREPARATOR POST ($60,000), GALLOWAY HOARD ($14,655), ADVENTURE PLANET GALLERY ($106,785) UMBRIA MADONNA PROJECT ($11,060) AND OTHER ($500).","193000","WIRE TRANSFER",NA,NA,NA
"202020709349300042","510254205","AMERICAN FOUNDATION FOR THE NATIONAL","2019","990","https://s3.amazonaws.com/irs-form-990/202020709349300042_public.xml","Europe (Including Iceland & Greenland)","HISTORICAL PRESERVATION AND DISPLAY",NA,NA,"LONGCASE CLOCK C. 1780 - 1790","FMV","12000"
"201801349349307400","951643375","SAN DIEGO SOCIETY OF NATURAL HISTORY","2016","990","https://s3.amazonaws.com/irs-form-990/201801349349307400_public.xml","E. ASIA & PAC.","EXHIBITIONS","12268","WIRES & CHEC",NA,"FMV",NA
"201801349349307400","951643375","SAN DIEGO SOCIETY OF NATURAL HISTORY","2016","990","https://s3.amazonaws.com/irs-form-990/201801349349307400_public.xml","NORTH AMERICA","EDUCATION","9187","WIRES & CHEC",NA,"FMV",NA
"201801349349307400","951643375","SAN DIEGO SOCIETY OF NATURAL HISTORY","2016","990","https://s3.amazonaws.com/irs-form-990/201801349349307400_public.xml","NORTH AMERICA","SCIENTIFIC RESEARCH","4012","WIRES & CHEC",NA,"FMV",NA
"201103189349304805","237182582","AMERICAN FRIENDS OF THE ISRAEL MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201103189349304805_public.xml","Middle East/North Africa","SUPPORT","21105002","ELECTRONIC",NA,NA,NA
"201343189349303444","942909985","THE CALIFORNIA PATRONS OF THE ARTS IN","2012","990","https://s3.amazonaws.com/irs-form-990/201343189349303444_public.xml","ITALY","RESTORATION OF RELIGIOUS ART IN THE VATICAN MUSEUMS","853140","BY CHECK",NA,NA,NA
"201643169349303689","471063741","TEL AVIV MUSEUM'S AMERICAN FRIENDS INC","2015","990","https://s3.amazonaws.com/irs-form-990/201643169349303689_public.xml","ISRAEL","TO PROVIDE SUPPORT FOR VARIOUS OPERATING EXPENSES AND EXHBITIONS.","280540","WIRE TRANSFER",NA,"BOOK",NA
"201643169349303689","471063741","TEL AVIV MUSEUM'S AMERICAN FRIENDS INC","2015","990","https://s3.amazonaws.com/irs-form-990/201643169349303689_public.xml","ISRAEL","TO PROVIDE ARTWORK FOR EXHIBITIONS AT THE MUSEUM.",NA,NA,"VARIOUS PIECES OF ARTWORK.","FMV","820000"
"201242239349301674","650327240","THE PATRONS OF THE ARTS IN THE","2011","990","https://s3.amazonaws.com/irs-form-990/201242239349301674_public.xml",NA,NA,"98898",NA,NA,NA,NA
"201242239349301674","650327240","THE PATRONS OF THE ARTS IN THE","2011","990","https://s3.amazonaws.com/irs-form-990/201242239349301674_public.xml",NA,NA,"75000",NA,NA,NA,NA
"201633209349316793","943400461","Open Library of Richmond Inc","2015","990","https://s3.amazonaws.com/irs-form-990/201633209349316793_public.xml","North America","Support","625000","Wire",NA,"Cash",NA
"202041489349300544","133329464","The Foundation for the Jewish Historical Museum in Amsterdam Inc","2019","990","https://s3.amazonaws.com/irs-form-990/202041489349300544_public.xml","Europe","Museum Support","132280","Wire Transfer",NA,NA,NA
"201811319349303146","133329462","FRIENDS OF MADATECH-THE ISRAEL INSTITUTE","2017","990","https://s3.amazonaws.com/irs-form-990/201811319349303146_public.xml","MIDDLE EAST AND NORTH AFRICA - ALGERIA, BAHRAIN, DJIBOUTI, EGYPT,","FUNDING THE NEEDS OF THE ISRAEL NATIONAL MUSEUM OF SCIENCE AND TECHNOLOGY IN FULFILLING ITS CHARITABLE MISSION.","1090055",NA,NA,NA,NA
