"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SG_02_FUNDR_EVNT_1_NAME","SG_02_FUNDR_EVNT_REV_GRORCPT_1","SG_02_FUNDR_EVNT_REV_GRO_1","SG_02_FUNDR_EVNT_EXP_NONCSH_1","SG_02_FUNDR_EVNT_EXP_FOOD_1","SG_02_FUNDR_EVNT_2_NAME","SG_02_FUNDR_EVNT_REV_GRORCPT_2","SG_02_FUNDR_EVNT_REV_GRO_2","SG_02_FUNDR_EVNT_EXP_NONCSH_2","SG_02_FUNDR_EVNT_EXP_FOOD_2","GrossReceiptsTotal","GrossRevenueTotalEvents","NonCashPrizesTotalEvents","FoodAndBeverageTotalEvents","DirectExpenseSummaryEvents","NetIncomeSummary","SG_02_FUNDR_EVNT_EXP_OTH_1","SG_02_FUNDR_EVNT_EXP_OTH_2","SG_02_FUNDR_EVNT_OTH_TOT_NUM","SG_02_FUNDR_EVNT_REV_GRORCPT_OTH","SG_02_FUNDR_EVNT_REV_GRO_OTH","SG_02_FUNDR_EVNT_EXP_OTH_OTH","OtherDirectExpensesTotalEvents","SG_02_FUNDR_EVNT_REV_CONTR_1","SG_02_FUNDR_EVNT_EXP_RENT_1","SG_02_FUNDR_EVNT_REV_CONTR_2","CharitableContributionsTotal","RentFacilityCostsTotalEvents","SG_02_FUNDR_EVNT_EXP_CASH_2","SG_02_FUNDR_EVNT_EXP_RENT_2","SG_02_FUNDR_EVNT_EXP_ENTMT_2","CashPrizesTotalEvents","EntertainmentTotalEvents"
"201400219349300855","561019359","WILKES ART GALLERY INC","2012","990","https://s3.amazonaws.com/irs-form-990/201400219349300855_public.xml","PICK A PRIZE","8777","8777","50","123","GREIGHT ESCAPE","14630","14630","5000","605","23407","23407","5050","728","5778","17629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201313199349310481","830239830","CHEYENNE FRONTIER DAYS OLD WEST","2012","990","https://s3.amazonaws.com/irs-form-990/201313199349310481_public.xml","WESTERN ART SHO","382841","382841",NA,NA,"WESTERN SPIRIT","86664","86664",NA,NA,"580725","580725",NA,NA,"410766","169959","271055","66768","2","111220","111220","72943","410766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201221369349305397","541189268","VIRGINIA DISCOVERY MUSEUM INC","2010","990","https://s3.amazonaws.com/irs-form-990/201221369349305397_public.xml","WREATH SALES","28972","28972",NA,NA,NA,NA,NA,NA,NA,"28972","28972",NA,NA,"20987","7985","20987",NA,NA,NA,NA,NA,"20987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201311199349300761","232910177","PENNSYLVANIA STATE POLICE HISTORICAL","2012","990","https://s3.amazonaws.com/irs-form-990/201311199349300761_public.xml","GOLF TOURNAMENT","13625","4500",NA,NA,"MOTORCYCLE RIDE","8014","4679",NA,NA,"30650","18190",NA,NA,"8129","10061",NA,"4679","1","9011","9011",NA,"4679","9125","3450","3335","12460","3450",NA,NA,NA,NA,NA
"201241329349301064","363225519","NATIONAL MUSEUM OF MEXICAN ART","2010","990","https://s3.amazonaws.com/irs-form-990/201241329349301064_public.xml","GALA DINNER","380041","380041",NA,NA,NA,NA,NA,NA,NA,"380041","380041",NA,NA,"188866","191175","188866",NA,NA,NA,NA,NA,"188866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201202279349300240","522112948","FRIENDS OF OKLAHOMA MUSIC INC","2011","990","https://s3.amazonaws.com/irs-form-990/201202279349300240_public.xml","Hall of Fame Induction Ceremony","77696","77696",NA,NA,"Museum Admisson and Concert Hall Rental","17971","17971",NA,NA,"95667","95667",NA,NA,"89369","6298","85344","4025",NA,NA,NA,NA,"89369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201341349349200259","592048498","HERNANDO HISTORICAL MUSEUM ASSOCIATION INC","2012","990EZ","https://s3.amazonaws.com/irs-form-990/201341349349200259_public.xml","MUSEUM FESTIVAL INCOME","25582","25422",NA,"1574","RAID","94321","90195","285","16336","119903","115617","285","17910","95489","20128","600","22838",NA,NA,NA,NA,"23438","160",NA,"4126","4286","13103","36000","13103","4753","36000","4753"
"201331359349203063","200749769","WILLIAM F EISNER MUSEUM OF","2012","990EZ","https://s3.amazonaws.com/irs-form-990/201331359349203063_public.xml","OPEN CANVAS","54785","54785",NA,NA,NA,NA,NA,NA,NA,"54785","54785",NA,NA,"19407","35378","19407",NA,NA,NA,NA,NA,"19407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201102019349300800","510175508","THE BAKKEN","2010","990","https://s3.amazonaws.com/irs-form-990/201102019349300800_public.xml","BREAKFAST","44425",NA,NA,"1458","YOUNG FRANKENSTEIN EVENT","11095","522",NA,"3206","55520","522",NA,"4664","6601","-6079","1482","455",NA,NA,NA,NA,"1937","44425",NA,"10573","54998",NA,NA,NA,NA,NA,NA
"201410459349303001","480878295","SALINA ART CENTER INC","2012","990","https://s3.amazonaws.com/irs-form-990/201410459349303001_public.xml","VARIOUS SPECIAL EVENTS","71554","71554",NA,NA,NA,NA,NA,NA,NA,"71554","71554",NA,NA,"15615","55939","15615",NA,NA,NA,NA,NA,"15615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
