"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SI_02_GRANT_US_ORG_EIN","SI_02_GRANT_US_ORG_IRC_SECTION","SI_02_GRANT_US_ORG_AMT_CASH","SI_02_GRANT_US_ORG_PURPOSE","SI_02_GRANT_US_ORG_NAME_L1","SI_02_GRANT_US_ORG_ADDR_L1","SI_02_GRANT_US_ORG_ADDR_CITY","SI_02_GRANT_US_ORG_ADDR_STATE","SI_02_GRANT_US_ORG_ADDR_ZIP","SI_02_GRANT_US_ORG_MOV","SI_02_GRANT_US_ORG_DESC_NONCSH","SI_02_GRANT_US_ORG_NAME_L2","SI_02_GRANT_US_ORG_AMT_NONCSH"
"202011069349301726","860390558","ARIZONA SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202011069349301726_public.xml","201166851","501(C)(3)","50316","TO BUILD A RESEARCH BASE ON HOW TO ENGAGE AND EMPOWER RURAL COMMUNITIES","WHITE MOUNTAIN NATURE CENTER","PO BOX 581","PINETOP","AZ","85935",NA,NA,NA,NA
"202011069349301726","860390558","ARIZONA SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202011069349301726_public.xml","860542973","501(C)(3)","39581","CREATE A PROFESSIONAL DEVELOPMENT OPPORTUNITIES FOR COMMUNITY LEADERS AND MEMBERS, ETC.","ARIZONA REGIONAL ECONOMIC DEVELOPMENT FOUNDAITON","750 E BARTOW DRIVE STE 16","SIERRA VISTA","AZ","85635",NA,NA,NA,NA
"202011069349301726","860390558","ARIZONA SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202011069349301726_public.xml","866007877","GOVERNMENT","25175","PROVIDE SUSTAINABILITY FOR EXPERTS, RESOURCES, AND BEST PRACTICES WITHIN THE NETWORK, ETC.","CITY OF COTTONWOODVERDE VALLEY RIC","816 N MAIN STREET","COTTONWOOD","AZ","85656",NA,NA,NA,NA
"202011069349301726","860390558","ARIZONA SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202011069349301726_public.xml","866000754","SCHOOL","50001","IN STATE TRAVEL (SCITECH KISCOFF) AND SUPPLIES PLANESPHERES, ETC.","EASTERN ARIZONA COLLEGE","615 N STADIUM AVE","THATCHER","AZ","85552",NA,NA,NA,NA
"201802689349301255","942764158","390TH MEMORIAL MUSEUM FOUNDATION INC","2017","990","https://s3.amazonaws.com/irs-form-990/201802689349301255_public.xml","382387453","501(C)(3) PUBLIC CHA","8750","TO SPONSOR THE VINTAGE AIRCRAFT MAINTENANCE PROJECT WHICH IS AN INTEGRAL PART OF THE 390TH MEMORIAL MUSEUM'S HISTORICAL EDUCATIONAL MISSION. THESE WERE THE AIRCRAFT FLOWN BY THE BOMB GROUP MEMORIALIZED BY THE 390TH.","YANKEE AIR MUSEUM","PO BOX 590","BELLEVILLE","MI","48112","N/A","N/A",NA,NA
"202141339349305524","943045948","CORPORATION OF THE FINE ARTS MUSEUMS","2019","990","https://s3.amazonaws.com/irs-form-990/202141339349305524_public.xml","946096509","501(C)(3)","506243","OPERATIONAL SUPPORT","FINE ARTS MUSEUMS FOUNDATION","50 HAGIWARA TEA GARDEN DRIVE","SAN FRANCISCO","CA","94118","FMV",NA,NA,NA
"201303199349308215","951686172","NATIONAL HOT ROD ASSOCIATION","2012","990","https://s3.amazonaws.com/irs-form-990/201303199349308215_public.xml","810650744","501(C)(3)","6900","CONTRIBUTION FOR MINISTRY SUPPORTING RACERS","RPM MINISTRY INC","PO BOX 833298","RICHARDSON","TX","750833298",NA,NA,NA,NA
"201813339349301026","912151686","BURKE MUSEUM ASSOCIATION","2017","990","https://s3.amazonaws.com/irs-form-990/201813339349301026_public.xml","916001537",NA,"1290287","MUSEUM SUPPORT","UNIVERSITY OF WASHINGTON BURKE MUSEUM","BOX 353010","SEATTLE","WA","98195",NA,NA,NA,NA
"201602179349300710","536001666","National Gallery of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201602179349300710_public.xml","800188269",NA,"7500","Tuition assistance program","FTC Child Care Center (Bright Horizons)","600 Pennsylvania Ave NW","Washington","DC","20580",NA,NA,NA,NA
"201322979349301137","621731495","FRIST CENTER FOR THE VISUAL ARTS FOUNDATION","2012","990","https://s3.amazonaws.com/irs-form-990/201322979349301137_public.xml","621731492","501(C)(3)","848772","SUPPORT FOR OPERATING A HIGH QUALITY CENTER FOR THE VISUAL ARTS IN TENNESSEE.","FRIST CENTER FOR VISUAL ARTS INC","919 BROADWAY","NASHVILLE","TN","37203",NA,NA,NA,NA
