"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SI_03_GRANT_US_INDIV_TYPE_GRANT","SI_03_GRANT_US_INDIV_NUM","SI_03_GRANT_US_INDIV_AMT_CASH","SI_03_GRANT_US_INDIV_AMT_NONCSH","SI_03_GRANT_US_INDIV_MOV","SI_03_GRANT_US_INDIV_DESC_NONCSH"
"202001919349300430","530199180","Trustees for Harvard University","2018","990","https://s3.amazonaws.com/irs-form-990/202001919349300430_public.xml","STIPENDS - POST-DOC. STUDENTS & FELLOWS","21","227000",NA,NA,NA
"202001919349300430","530199180","Trustees for Harvard University","2018","990","https://s3.amazonaws.com/irs-form-990/202001919349300430_public.xml","FELLOWSHIPS","49","710851",NA,NA,NA
"202001919349300430","530199180","Trustees for Harvard University","2018","990","https://s3.amazonaws.com/irs-form-990/202001919349300430_public.xml","RESEARCH-RELATED REIMBUR. FOR FELLOWS","21","30822",NA,NA,NA
"202001919349300430","530199180","Trustees for Harvard University","2018","990","https://s3.amazonaws.com/irs-form-990/202001919349300430_public.xml","TRAVEL GRANTS","21","29561",NA,NA,NA
"201602179349300710","536001666","National Gallery of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201602179349300710_public.xml","Research fellowships awarded each fiscal year by the Gallery's Center for Advanced Study in the Visual Arts. The fellowships are designed to promote scholarship in art and architecture.","64","984138","218440","Fair market value","Housing"
"201422269349304607","362167797","Museum of Science and Industry","2013","990","https://s3.amazonaws.com/irs-form-990/201422269349304607_public.xml","Science Achievers - CASE celebration","30",NA,"8000","FMV","laptops"
"202040799349300209","043684531","THE MALTZ MUSEUM OF JEWISH HERITAGE","2018","990","https://s3.amazonaws.com/irs-form-990/202040799349300209_public.xml","COLLEGE SCHOLARSHIPS","4","70000",NA,NA,NA
"202040799349300209","043684531","THE MALTZ MUSEUM OF JEWISH HERITAGE","2018","990","https://s3.amazonaws.com/irs-form-990/202040799349300209_public.xml","ESSAY CONTEST PRIZES FOR 6TH TO 12TH GRADERS","11","5000",NA,NA,NA
"201941849349300939","911806943","Children's Discovery Foundation","2018","990","https://s3.amazonaws.com/irs-form-990/201941849349300939_public.xml","HENIGSON COLLEGE SCHOLARSHIP","4",NA,"32000","FMV","SCHOLARSHIP"
"201941849349300939","911806943","Children's Discovery Foundation","2018","990","https://s3.amazonaws.com/irs-form-990/201941849349300939_public.xml","SCIENCE FAIR SCHOLARSHIP","4",NA,"999","FMV","SCHOLARSHIP"
"201941849349300939","911806943","Children's Discovery Foundation","2018","990","https://s3.amazonaws.com/irs-form-990/201941849349300939_public.xml","FUNHOUSE MEMBERSHIP AND CLASSES","415",NA,"87975","FMV","MEMBERSHIP AND CLASS DISCOUNTS"
"201111969349300146","041988530","WORCESTER ART MUSEUM","2009","990","https://s3.amazonaws.com/irs-form-990/201111969349300146_public.xml","VARIOUS SCHOLARSHIPS","829","121168",NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","Admission fee waivers","39945","0","159779","Retail price","Fee waiver"
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","Course fee waivers","97","0","48725","Retail price","Fee waiver"
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","Overnight program fee waivers","602","0","27100","Retail price","Fee waiver"
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","Teacher stipends","150","119324","0",NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","College scholarships","22","61500","0",NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","Prizes and awards","2","25000","0",NA,NA
"201900469349302025","930391604","PORTLAND ART MUSEUM","2017","990","https://s3.amazonaws.com/irs-form-990/201900469349302025_public.xml","OREGON MEDIA ARTS FELLOWSHIP","5","23101",NA,NA,NA
"201222089349300407","311728910","NAVY SEAL FOUNDATION INC","2011","990","https://s3.amazonaws.com/irs-form-990/201222089349300407_public.xml","SCHOLARSHIP & TUITION ASSISTANCE","1159","514006",NA,NA,NA
"201222089349300407","311728910","NAVY SEAL FOUNDATION INC","2011","990","https://s3.amazonaws.com/irs-form-990/201222089349300407_public.xml","FAMILY SUPPORT","391","503212","1654845","COST","THE NAVY SEAL FOUNDATION PROVIDED SEVERAL SERVICES FOR THE FAMILIES OF NAVY SEALS, SUCH AS CHILD CARE, HEALTH SERVICES, SOCIAL EVENTS, AND INFORMATIONAL MEETINGS."
"201310719349300306","060653120","MYSTIC SEAPORT MUSEUM INC","2011","990","https://s3.amazonaws.com/irs-form-990/201310719349300306_public.xml","THE WILLIAMS COLLEGE/MYSTIC SEAPORT MARITIME STUDIES PROGRAM OFFERED GRANTS/SCHOLARSHIPS TO FULL TIME COLLEGE STUDENTS BASED ON FINANCIAL NEEDS.","23","190336",NA,NA,NA
"201310719349300306","060653120","MYSTIC SEAPORT MUSEUM INC","2011","990","https://s3.amazonaws.com/irs-form-990/201310719349300306_public.xml","THE BRILLIANT AT-SEA SAILING PROGRAM PROVIDED FOR SCHOLARSHIPS TO HIGH SCHOOL STUDENTS","17","8805",NA,NA,NA
"201310719349300306","060653120","MYSTIC SEAPORT MUSEUM INC","2011","990","https://s3.amazonaws.com/irs-form-990/201310719349300306_public.xml","THE CONRAD SAILING PROGRAM PROVIDED SCHOLARSHIPS TO YOUNG PEOPLE.","35","12040",NA,NA,NA
"201310719349300306","060653120","MYSTIC SEAPORT MUSEUM INC","2011","990","https://s3.amazonaws.com/irs-form-990/201310719349300306_public.xml","FELLOWSHIPS WERE AWARDED FOR SCHOLARLY RESEARCH IN MARITIME STUDIES WHICH INCLUDES MARITIME HISTORY, ART, POLICY, SCIENCE AND LITERATURE FOR BOTH GRADUATE AND UNDERGRADUATE STUDENTS.","8","11100",NA,NA,NA
