"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_01_BOND_ISSUE_REFERENCE_NUM","SK_01_BOND_ISSUER_EIN","SK_01_BOND_ISSUE_DATE","SK_01_BOND_ISSUE_PRICE","SK_01_BOND_ISSUE_PURPOSE_DESC","SK_01_BOND_ISSUE_DEFEASED_X","SK_01_BOND_ISSUER_ON_BEHALF_OF_X","SK_01_BOND_ISSUE_POOL_FIN_X","SK_01_BOND_ISSUER_NAME_L1","SK_01_BOND_ISSUE_CUSIP_NUM","SK_01_BOND_ISSUER_NAME_L2"
"201832009349300543","421415581","SALISBURY HOUSE FOUNDATION","2017","990","https://s3.amazonaws.com/irs-form-990/201832009349300543_public.xml","A","426004577","2007-07-17","3555636","CAPITAL IMPROVEMENTS","0","0","0","CITY OF WINDSOR HEIGHTS",NA,NA
"201102069349300685","750755335","FORT WORTH MUSEUM OF SCIENCE AND HISTORY","2009","990","https://s3.amazonaws.com/irs-form-990/201102069349300685_public.xml",NA,"221147033","2008-07-02","29000000","BUILDING PROJECT","0","0",NA,"TARRANT COUNTY CULTURAL EDUCATION FACILITIES FINANCE CORPORATION","87638PAA9",NA
"202022279349301432","530206027","Smithsonian Institution","2018","990","https://s3.amazonaws.com/irs-form-990/202022279349301432_public.xml","A","540787833","2003-12-03","77545000","New Construction","false","false","false","FCEDA Series A&B","30382ECZ5",NA
"202022279349301432","530206027","Smithsonian Institution","2018","990","https://s3.amazonaws.com/irs-form-990/202022279349301432_public.xml","B","536001131","2010-04-29","33825749","Refunding of 1997 Bonds","false","false","false","District of Columbia","2548397S6",NA
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","A","911882413","2008-07-23","202520188","Refund various Bonds of Issuer","0","0","0","The Trust for Cultural Resources of","649717PC3","City of New York Series 2008 1A"
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","B","911882413","2010-07-29","64582831","Refund Issuer's 2008 One-A and pay costs of issuance","0","0","0","The Trust for Cultural Resources of","649717QL2","City of New York Series 2010 1A"
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","C","911882413","2012-05-01","104770510","Refund Issuer's 1996A, 2001A, 2001-One-D, and pay costs of issuance","0","0","0","The Trust for Cultural Resources of","649717RM9","City of NY Series 2012 1D and Series 2012A"
"201541329349303564","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2013","990","https://s3.amazonaws.com/irs-form-990/201541329349303564_public.xml","A","132906040","2007-12-22","8900000","BUILDING ACQ. & PURCHASE","0","0","0","NEW YORK CITY INDUSTRIAL DEVELOPMENT AGENCY",NA,NA
"202120919349300917","941696494","THE EXPLORATORIUM","2019","990","https://s3.amazonaws.com/irs-form-990/202120919349300917_public.xml","A","941696494","2019-08-31","49200000","SEE PART VI","0","0","0","THE EXPLORATORIUM",NA,NA
"201723499349300507","760217152","MANNED SPACE FLIGHT EDUCATION","2016","990","https://s3.amazonaws.com/irs-form-990/201723499349300507_public.xml","A","760337885","2009-12-30","10725000","REFUND ISSUE DATED 2/14/1996","0","0","0","HARRIS COUNTY CULTURAL EDUCATION","414009DH0",NA
"201623199349309352","160954168","MARGARET WOODBURY STRONG MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201623199349309352_public.xml","A","161005429","2005-04-07","30000000","MARGARET WOODBURY STRONG MUSEUM EXPANSION AND RENOVATION","0","0","0","COUNTY OF MONROE INDUSTRIAL DEVELOPMENT AGENCY","610752CW5",NA
"202130769349300818","846038240","Denver Art Museum","2019","990","https://s3.amazonaws.com/irs-form-990/202130769349300818_public.xml","A","840896727","2018-02-21","47000000","Construct a welcome center and renovate the North building","0","0","0","Colorado Educational and Cultural Facilities Authority",NA,NA
"201630989349300648","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2014","990","https://s3.amazonaws.com/irs-form-990/201630989349300648_public.xml","A","043431814","2012-05-03","6408949","REFUNDING ISSUE","0","0","0","MASSACHUSETTS DEVELOPMENT FINANCE AGENCY",NA,NA
