"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_02_BOND_ISSUE_REFERENCE_NUM","SK_02_BOND_PROCEED_TOT","SK_02_BOND_PROCEED_ISSUANCE_COST","SK_02_BOND_PROCEED_CAP_EXP","SK_02_BOND_PROCEED_Y_COMPLETION.","SK_02_BOND_PROCEED_REFUND_CURR_X","SK_02_BOND_PROCEED_REFUND_ADVC_X","SK_02_BOND_PROCEED_ALLOC_FINAL_X","SK_02_BOND_PROCEED_BOOK_RECORD_X","SK_02_BOND_PROCEED_AMT_RETIRED","SK_02_BOND_PROCEED_AMT_DEFEASED","SK_02_BOND_PROCEED_RESERVE_FUND","SK_02_BOND_PROCEED_INT_CAP","SK_02_BOND_PROCEED_REFUND_ESCROW","SK_02_BOND_PROCEED_CREDIT_ENHANC","SK_02_BOND_PROCEED_CAP_EXP_WORK","SK_02_BOND_PROCEED_OTH_SPENT","SK_02_BOND_PROCEED_OTH_UNSPENT","RefundingTaxExemptBondsInd","RefundingTaxableBondsInd"
"201832009349300543","421415581","SALISBURY HOUSE FOUNDATION","2017","990","https://s3.amazonaws.com/irs-form-990/201832009349300543_public.xml","A","3555636","31000","3524636","2007","1","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201102069349300685","750755335","FORT WORTH MUSEUM OF SCIENCE AND HISTORY","2009","990","https://s3.amazonaws.com/irs-form-990/201102069349300685_public.xml",NA,"29000000","673441","28326559","2009","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202022279349301432","530206027","Smithsonian Institution","2018","990","https://s3.amazonaws.com/irs-form-990/202022279349301432_public.xml","A","77545000","530475","77008364","2003",NA,NA,"true","true","0","0","0","0","0","6161","0","0","0","false","false"
"202022279349301432","530206027","Smithsonian Institution","2018","990","https://s3.amazonaws.com/irs-form-990/202022279349301432_public.xml","B","33825749","612994","0","2010",NA,NA,"true","true","12545800","0","0","0","0","0","0","33212755","0","true","false"
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","A","202818443","1080188","0",NA,"1","0","1","1","64210000","0","0","0","0","0","0","201738255","0",NA,NA
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","B","64593399","433188","0",NA,"1","0","1","1","0","0","0","0","0","0","0","64160211","0",NA,NA
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","C","104778309","733735","0",NA,"1","0","1","1","8895000","0","0","0","0","0","0","104033045","11529",NA,NA
"201541329349303564","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2013","990","https://s3.amazonaws.com/irs-form-990/201541329349303564_public.xml","A",NA,"396866","2400000","2011","0","0","1","1",NA,NA,"8900000",NA,NA,NA,NA,"6103134",NA,NA,NA
"202120919349300917","941696494","THE EXPLORATORIUM","2019","990","https://s3.amazonaws.com/irs-form-990/202120919349300917_public.xml","A","49200000","590291",NA,"2013",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0"
"201723499349300507","760217152","MANNED SPACE FLIGHT EDUCATION","2016","990","https://s3.amazonaws.com/irs-form-990/201723499349300507_public.xml","A","10725000","214500",NA,NA,"0","1","1","1",NA,NA,"1072500",NA,NA,NA,NA,"9438000",NA,NA,NA
"201623199349309352","160954168","MARGARET WOODBURY STRONG MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201623199349309352_public.xml","A","30000000","482700","29153760","2006","0","0","1","1","2905000",NA,NA,NA,NA,NA,"363540",NA,NA,NA,NA
"202130769349300818","846038240","Denver Art Museum","2019","990","https://s3.amazonaws.com/irs-form-990/202130769349300818_public.xml","A","21545519",NA,"21545519",NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0"
"201630989349300648","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2014","990","https://s3.amazonaws.com/irs-form-990/201630989349300648_public.xml","A","6408949","96449",NA,"2006","1","0","1","1","1650000",NA,NA,NA,NA,NA,"6312500",NA,NA,NA,NA
"201210879349300811","221514241","THE MORRIS MUSEUM INC","2010","990","https://s3.amazonaws.com/irs-form-990/201210879349300811_public.xml",NA,"10000000","385841","9614159","2007","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201500489349300045","951855640","MUSEUM OF CONTEMPORARY ART SAN DIEGO","2013","990","https://s3.amazonaws.com/irs-form-990/201500489349300045_public.xml","A","13000000","460000","12540000","2007","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201241359349305074","042103993","THE CHILDRENS MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201241359349305074_public.xml",NA,"30000000","396523","22681782","2007","1","0","1","1","6921695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202003219349304595","311139447","EITELJORG MUSEUM OF AMERICAN INDIANS","2019","990","https://s3.amazonaws.com/irs-form-990/202003219349304595_public.xml","A","23570000","414181","1578984",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"959350",NA,"1","0"
"201940469349301014","410706172","SCIENCE MUSEUM OF MINNESOTA","2017","990","https://s3.amazonaws.com/irs-form-990/201940469349301014_public.xml","A","16600000","119250",NA,"2015","1","0","1","1","3600000",NA,NA,NA,"16400402",NA,NA,"80348",NA,NA,NA
"201410659349300206","446012977","NELSON GALLERY FOUNDATION","2012","990","https://s3.amazonaws.com/irs-form-990/201410659349300206_public.xml","A","63709527","733679","54605792","2007","false","false","true","true","3000000","0","0","8370056","0","0","0","0","0",NA,NA
