"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SL_02_LOAN_INT_NAME_PERS","SL_02_LOAN_PURPOSE","SL_02_LOAN_TO_ORG_X","SL_02_LOAN_AMT_ORIGIN_PRINCIPAL","SL_02_LOAN_BALANCE_DUE","SL_02_LOAN_DEFAULT_X","SL_02_LOAN_BOARD_APPROV_X","SL_02_LOAN_WRITTEN_AGREEMENT_X","SL_02_LOAN_RELATIONSHIP","SL_02_LOAN_INT_NAME_ORG_L1","SL_02_LOAN_FROM_ORG_X","SL_02_LOAN_INT_NAME_ORG_L2"
"201103199349304525","030425737","UNSER DISCOVERY CAMPUS INC","2010","990","https://s3.amazonaws.com/irs-form-990/201103199349304525_public.xml","AL AND SUSAN UNSER","TO HELP START PROGRAMS","X","578796","801314","false","true","false",NA,NA,NA,NA
"202003219349320170","472840921","PINBALL EDU INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003219349320170_public.xml","EXECUTIVE DIRECTOR NOTE","WORKING CAPITAL","X","17848","2995","false","true","false","EXECUTIVE DIRECTOR",NA,NA,NA
"201831069349300108","020233250","NEW HAMPSHIRE HISTORICAL SOCIETY","2016","990","https://s3.amazonaws.com/irs-form-990/201831069349300108_public.xml",NA,"LINE OF CREDIT","X","250000","249500","0","1","1","PRESIDENT OF THE SOCIETY IS THE BOARD CHAIR OF THE BANK","MERRIMACK COUNTY SAVINGS BANK",NA,NA
"201831069349300108","020233250","NEW HAMPSHIRE HISTORICAL SOCIETY","2016","990","https://s3.amazonaws.com/irs-form-990/201831069349300108_public.xml",NA,"RENOVATIONS","X","165000","124181","0","1","1","PRESIDENT OF THE SOCIETY IS THE BOARD CHAIR OF THE BANK","MERRIMACK COUNTY SAVINGS BANK",NA,NA
"201831069349300108","020233250","NEW HAMPSHIRE HISTORICAL SOCIETY","2016","990","https://s3.amazonaws.com/irs-form-990/201831069349300108_public.xml",NA,"STEAM TO GAS CONVERSION","X","91809","91809","0","1","1","PRESIDENT OF THE SOCIETY IS THE BOARD CHAIR OF THE BANK","MERRIMACK COUNTY SAVINGS BANK",NA,NA
"201943119349301689","814362384","NEWPORT CAR MUSEUM INCORPORATED","2018","990","https://s3.amazonaws.com/irs-form-990/201943119349301689_public.xml","GUNTHER BUERMAN","TO SUPPORT START UP AND OPERATIONS","X","2641335","2641335","0","1","1","CHAIRMAN",NA,NA,NA
"201430719349200713","271636851","BABBIE RURAL & FARM LEARNING MUSEUM","2013","990EZ","https://s3.amazonaws.com/irs-form-990/201430719349200713_public.xml","Leeward Babbie","Operating Capital","X","13880","13880","false","true","true",NA,NA,NA,NA
"201841349349306414","133853627","THE NATIONAL JAZZ MUSEUM IN HARLEM","2016","990","https://s3.amazonaws.com/irs-form-990/201841349349306414_public.xml",NA,"OPERATIONS","X","25000","25000","0","1","1","ENTITY MORE THAN 35% OWNED BY KENNETH MCINTYRE, DIRECTOR","PASSPORT REAL ESTATE LLC",NA,NA
"202001359349301990","136227423","ANTHOLOGY FILM ARCHIVES","2018","990","https://s3.amazonaws.com/irs-form-990/202001359349301990_public.xml","Jonas Mekas","Buy paper archive",NA,"315000","196250","false","true","true","Former Pres",NA,"X",NA
"202023249349300122","221550244","Hunterdon Art Museum","2019","990","https://s3.amazonaws.com/irs-form-990/202023249349300122_public.xml",NA,"Mortgage","X","370000","370000","false","true","true","Treasurer","HAM Mortgage Group LLC",NA,NA
