"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SN_01_LTD_ASSET_DIST_DESC","SN_01_LTD_ASSET_DIST_DATE","SN_01_LTD_ASSET_DIST_FMV","SN_01_LTD_ASSET_DIST_FMV_METHOD","SN_01_LTD_RECIP_EIN","SN_01_LTD_RECIP_IRC_SECTION","SN_01_LTD_RECIP_NAME_ORG_L1","SN_01_LTD_RECIP_ADDR_L1","SN_01_LTD_RECIP_ADDR_CITY","SN_01_LTD_RECIP_ADDR_STATE","SN_01_LTD_RECIP_ADDR_ZIP","SN_01_LTD_RECIP_NAME_ORG_L2","SN_01_LTD_RECIP_ADDR_L2","SN_01_LTD_RECIP_NAME_PERS"
"201200679349301350","541755401","STONEWALL JACKSON FOUNDATION CO VMI FOUNDATION","2011","990","https://s3.amazonaws.com/irs-form-990/201200679349301350_public.xml","LAND, BUILDINGS, FURNITURE, FIXTURES, EQUIPMENT, MUSEUM COLLECTIONS, INVENTORY AND INTELLECTUAL PROPERTY RIGHTS","2011-06-01","1197972","APPRAISAL","546001803","PUBLIC COLLEGE","VIRGINIA MILITARY INSTITUTE","201 SMITH HALL","LEXINGTON","VA","24450",NA,NA,NA
"201200679349301350","541755401","STONEWALL JACKSON FOUNDATION CO VMI FOUNDATION","2011","990","https://s3.amazonaws.com/irs-form-990/201200679349301350_public.xml","CASH","2011-06-01","385264","NOMINAL VALUE","540505966","501(C)(3)","VMI FOUNDATION","304 LETCHER AVENUE","LEXINGTON","VA","24450",NA,NA,NA
"201401369349301265","943094513","THE OAKLAND MUSEUM OF CALIFORNIA FOUNDATION","2012","990","https://s3.amazonaws.com/irs-form-990/201401369349301265_public.xml","ALL ASSETS TRANSFERRED TO NEW ORGANIZATION - THIS TRANSFER WAS DISCLOSED ON THE RETURN FILED FOR THE PERIOD ENDED JUNE 30, 2012.","2012-07-01","32070106","PER AUDITED FINANCIAL STATEMENTS","453138892","501(C)(3)","OAKLAND MUSEUM OF CALIFORNIA","1000 OAK STREET","OAKLAND","CA","94607",NA,NA,NA
"201110709349200211","412238959","DISCOVERY DEPOT CHILDRENS MUSEUM","2010","990EZ","https://s3.amazonaws.com/irs-form-990/201110709349200211_public.xml","CASH","2010-05-18","3866","BANK ACCT","390494331","501(C)3","INDIAN AGENCY HOUSE","PO BOX 84","PORTAGE","WI","53901","INDIAN AGENCY HOUSE","PO BOX 84",NA
"201110709349200211","412238959","DISCOVERY DEPOT CHILDRENS MUSEUM","2010","990EZ","https://s3.amazonaws.com/irs-form-990/201110709349200211_public.xml","CASH","2010-05-18","3866","BANK ACCT","390871258","501(C)3","SURGEON'S QUARTERS","W8687 STATE ROAD 33","PORTAGE","WI","53901","SURGEON'S QUARTERS","W8687 STATE ROAD 33",NA
"201110709349200211","412238959","DISCOVERY DEPOT CHILDRENS MUSEUM","2010","990EZ","https://s3.amazonaws.com/irs-form-990/201110709349200211_public.xml","CASH","2010-05-18","3865","BANK ACCT","391836447","501(C)3","GREATER PORTAGE YOUTH EDUCATION FDN","PO BOX 872","PORTAGE","WI","53901","GREATER PORTAGE YOUTH EDUCATION FDN","PO BOX 872",NA
"201242489349300354","742879023","THE WOMEN'S MUSEUM - AN INSTITUTE FOR THE FUTURE","2011","990","https://s3.amazonaws.com/irs-form-990/201242489349300354_public.xml","CASH","2012-08-03","317227",NA,"746077587","501(C)(3)","RGK FOUNDATION","1301 WEST 25TH STREET","AUSTIN","TX","78705",NA,NA,NA
"201331219349301258","460358278","ENCHANTED WORLD DOLL MUSEUM","2012","990","https://s3.amazonaws.com/irs-form-990/201331219349301258_public.xml","CASH","2012-11-01","1826","COST",NA,"INDIVIDUAL",NA,"LABRECHE","MITCHELL","SD","57301",NA,NA,"VALERIE"
"201142249349200129","203229893","SPARTA TEAPOT MUSEUM","2010","990EZ","https://s3.amazonaws.com/irs-form-990/201142249349200129_public.xml","LOT ON WEST WHITEHEAD STREET S",NA,"99672","TAX VALUE","566012899","GOVERNMENTAL",NA,"PO BOX 99","Sparta","NC","28675",NA,NA,"TOWN OF SPARTA"
"201142249349200129","203229893","SPARTA TEAPOT MUSEUM","2010","990EZ","https://s3.amazonaws.com/irs-form-990/201142249349200129_public.xml","CASH","2010-12-31","11170","CASH","566012899","GOVERNMENT",NA,"PO BOX 99","Sparta","NC","28675",NA,NA,"TOWN OF SPARTA REVITALIZATION"
