"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_02_RLTD_ORG_EIN","SR_02_RLTD_ORG_PRIMARY_ACT","SR_02_RLTD_ORG_DMCL_STATE","SR_02_RLTD_ORG_EXEMPT_CODE","SR_02_RLTD_ORG_PCSTAT","SR_02_RLTD_ORG_CTRL_NA","SR_02_RLTD_ORG_CTRL_512_X","SR_02_RLTD_ORG_NAME_L1","SR_02_RLTD_ORG_ADDR_L1","SR_02_RLTD_ORG_ADDR_CITY","SR_02_RLTD_ORG_ADDR_STATE","SR_02_RLTD_ORG_ADDR_ZIP","SR_02_RLTD_ORG_NAME_L1.1","SR_02_RLTD_ORG_NAME_L2","SR_02_RLTD_ORG_DMCL_CNTR","SR_02_RLTD_ORG_ADDR_L1.1","SR_02_RLTD_ORG_ADDR_CITY.1","SR_02_RLTD_ORG_ADDR_STATE.1","SR_02_RLTD_ORG_ADDR_CNTR","SR_02_RLTD_ORG_ADDR_ZIP.1"
"201310429349300761","470527040","STUHR MUSEUM OF THE PRAIRIE PIONEER","2011","990","https://s3.amazonaws.com/irs-form-990/201310429349300761_public.xml","470632772","FUNDRAISIN","NE","501C3","11C","N/A","false","STUHR MUSEUM FOUNDATION","3133 W HWY 34","GRAND ISLAND","NE","68801",NA,NA,NA,NA,NA,NA,NA,NA
"201842279349302559","741400537","THE WITTE MUSEUM","2016","990","https://s3.amazonaws.com/irs-form-990/201842279349302559_public.xml","742755365","SEE PART VII","TX","501(C)(3)","7",NA,"true","THE WITTE FOUNDATION","3801 BROADWAY","SAN ANTONIO","TX","78209","WITTE MUSEUM",NA,NA,NA,NA,NA,NA,NA
"201842279349302559","741400537","THE WITTE MUSEUM","2016","990","https://s3.amazonaws.com/irs-form-990/201842279349302559_public.xml","460887994","SEE PART VII","TX","501(C)(2)",NA,NA,"true","THE WITTE TITLE HOLDING COMPANY","3801 BROADWAY","SAN ANTONIO","TX","78209","WITTE MUSEUM",NA,NA,NA,NA,NA,NA,NA
"201843199349313689","860665886","ROBERT LOUIS STEVENSON MUSEUMPRES FDN","2017","990","https://s3.amazonaws.com/irs-form-990/201843199349313689_public.xml","860862181","REPOSITORY FOR HISTORICAL ITEMS TO PROMOTE THE LOCAL HERITAGE","AZ","501(C)3","PF",NA,"0","SODA SPRINGS IDAHO HISTORICAL MUSEUM","7501 E MCCORMICK PARKWAY","SCOTTSDALE","AZ","85258",NA,NA,NA,NA,NA,NA,NA,NA
"201912849349300511","760225927","TEXAS ENERGY MUSEUM INC","2018","990","https://s3.amazonaws.com/irs-form-990/201912849349300511_public.xml","766039382","SUPPORT TH","TX","501","12B",NA,"false","TEXAS ENERGY MUSEUM FOUNDATION","PO BOX 3628","BEAUMONT","TX","77704","NONE","NONE",NA,NA,NA,NA,NA,NA
"202000269349300205","237055827","MILWAUKEE PUBLIC MUSEUM ENDOWMENT FUND","2018","990","https://s3.amazonaws.com/irs-form-990/202000269349300205_public.xml","391723105","TO OPERATE AN EDUCATIONAL MUSEUM","WI","501(C)(3)","7","N/A","0","MILWAUKEE PUBLIC MUSEUM INC","800 W WELLS STREET","MILWAUKEE","WI","53233",NA,NA,NA,NA,NA,NA,NA,NA
"201743189349305134","510210113","Polish Museum of America","2016","990","https://s3.amazonaws.com/irs-form-990/201743189349305134_public.xml","361635425","Fraternal Benefit Society","IL","501(c)(8)",NA,"N/A","false","Polish Roman Catholic Union of America","984 N Milwaukee Avenue","Chicago","IL","606424101",NA,NA,NA,NA,NA,NA,NA,NA
"201210689349300936","370818561","LAKEVIEW MUSEUM OF ARTS AND SCIENCE","2010","990","https://s3.amazonaws.com/irs-form-990/201210689349300936_public.xml","311599623","MANAGEMENT AND ADMINISTRATION OF INVESTMENT PORTFOLIO FOR BENEFIT OF MUSEUM","IL","501(C)(3)","11C",NA,"0","PEORIA RIVERFRONT MUSEUM FOUNDATION","1125 WEST LAKE AVENUE","PEORIA","IL","61614",NA,NA,NA,NA,NA,NA,NA,NA
"201210689349300936","370818561","LAKEVIEW MUSEUM OF ARTS AND SCIENCE","2010","990","https://s3.amazonaws.com/irs-form-990/201210689349300936_public.xml","272920016","PUBLIC MUSEUM","IL","501(C)(3)","7",NA,"0","PEORIA RIVERFRONT MUSEUM","1125 WEST LAKE AVENUE","PEORIA","IL","61614",NA,NA,NA,NA,NA,NA,NA,NA
"201741099349300734","650445848","MUSEUM CENTER CORPORATION","2015","990","https://s3.amazonaws.com/irs-form-990/201741099349300734_public.xml","596019851","FUNDRAISING","FL","501(C)(3)","PUBLIC","N/A","0","BOCA RATON MUSEUM OF ART","501 PLAZA REAL MIZNER PARK","BOCA RATON","FL","33432",NA,NA,NA,NA,NA,NA,NA,NA
